Universidad,Carrera,Cuatrimestre,Periodo,Materia
UP Altamira - Universidad Politécnica,Ing. Industrial,3,Cuatrimestre 3,Desarrollo del Pensamiento y Toma de Decisiones
UP Altamira - Universidad Politécnica,Ing. Industrial,3,Cuatrimestre 3,Estudio del Trabajo
UP Altamira - Universidad Politécnica,Ing. Industrial,3,Cuatrimestre 3,Inglés III
UP Altamira - Universidad Politécnica,Ing. Industrial,3,Cuatrimestre 3,Proceso de Fabricación
UP Altamira - Universidad Politécnica,Ing. Industrial,3,Cuatrimestre 3,Proyecto Integrador I
UP Altamira - Universidad Politécnica,Ing. Industrial,4,Cuatrimestre 4,Administración y Control de la Calidad
UP Altamira - Universidad Politécnica,Ing. Industrial,4,Cuatrimestre 4,Cálculo de Varias Variables
UP Altamira - Universidad Politécnica,Ing. Industrial,4,Cuatrimestre 4,Ingeniería Económica
UP Altamira - Universidad Politécnica,Ing. Industrial,4,Cuatrimestre 4,Ingeniería de Planta y Estudio del Trabajo
UP Altamira - Universidad Politécnica,Ing. Industrial,4,Cuatrimestre 4,Inglés IV
UP Altamira - Universidad Politécnica,Ing. Industrial,4,Cuatrimestre 4,Tecnologías de Transformación de Materiales
UP Altamira - Universidad Politécnica,Ing. Industrial,4,Cuatrimestre 4,Ética Profesional
UP Altamira - Universidad Politécnica,Ing. Industrial,5,Cuatrimestre 5,Administración y Control de Operaciones
UP Altamira - Universidad Politécnica,Ing. Industrial,5,Cuatrimestre 5,Ecuaciones Diferenciales
UP Altamira - Universidad Politécnica,Ing. Industrial,5,Cuatrimestre 5,Gestión Ambiental en Procesos Industriales
UP Altamira - Universidad Politécnica,Ing. Industrial,5,Cuatrimestre 5,Inglés V
UP Altamira - Universidad Politécnica,Ing. Industrial,5,Cuatrimestre 5,Liderazgo de Equipos de Alto Desempeño
UP Altamira - Universidad Politécnica,Ing. Industrial,5,Cuatrimestre 5,Proyecto Integrador II
UP Altamira - Universidad Politécnica,Ing. Industrial,5,Cuatrimestre 5,Sistemas de Manufactura Aplicada
UP Altamira - Universidad Politécnica,Ing. Industrial,6,VI (Estadía TSU),ESTADÍA TSU
UP Altamira - Universidad Politécnica,Ing. Industrial,7,Cuatrimestre 7,Habilidades Gerenciales
UP Altamira - Universidad Politécnica,Ing. Industrial,7,Cuatrimestre 7,Ingeniería de Planta
UP Altamira - Universidad Politécnica,Ing. Industrial,7,Cuatrimestre 7,Inglés VI
UP Altamira - Universidad Politécnica,Ing. Industrial,7,Cuatrimestre 7,Investigación de Operaciones I
UP Altamira - Universidad Politécnica,Ing. Industrial,7,Cuatrimestre 7,Manufactura Esbelta
UP Altamira - Universidad Politécnica,Ing. Industrial,7,Cuatrimestre 7,Sistemas de Gestión de la Calidad
UP Altamira - Universidad Politécnica,Ing. Industrial,7,Cuatrimestre 7,Tópicos de Nuevas Tecnologías de Manufactura
UP Altamira - Universidad Politécnica,Ing. Industrial,8,Cuatrimestre 8,6 Sigma
UP Altamira - Universidad Politécnica,Ing. Industrial,8,Cuatrimestre 8,Automatización y Control de Procesos
UP Altamira - Universidad Politécnica,Ing. Industrial,8,Cuatrimestre 8,Diseño del Producto
UP Altamira - Universidad Politécnica,Ing. Industrial,8,Cuatrimestre 8,Evaluación y Administración de Proyectos
